STEM,TYPE,DEFINITION,EXAMPLES
-ac,,NSAID (acetic acid derivatives),"bromfenac, dexpemedolac"
-adol-,,mixed opiate receptor agonists/antagonists,"levonantradol, spiradoline, tazadolene"
-afil,,Inhibitor of PDE5 with vasodilator action,"sildenafil (viagra), tadalafil"
-alol,,Combined alpha and beta blockers,"labetalol, medroxalol"
-andr-,,Androgens,nandrolone
-anib,,Angiogenesis inhibitors (inhibits growth of new blood vessels),"Pazopanib, Vandetanib"
-anserin,,Serotonin 5-HT(sub)2 receptor antagonists,"altanserin, tropanserin"
-arabine,,Antineoplastics (arabinofuranosyl derivatives),fludarabine
-ase,,Enzymes,"alglucerase, dornase alfa"
-atadine,,Tricyclic antiasthmatics,"olopatadine, loratadine"
-axine,,"Antianxiety, antidepressant",venlafaxine
-azenil,,Benzodiazepine receptor agonists/antagonists,"bretazenil, flumazenil"
-azepam,,Antianxiety agents (diazepam type),"lorazepam, diazepam"
-azepide,,Cholecystokinin receptor antagonists,devazepide
-azocine,,Narcotic antagonists/agonists,"quadazocine, ketazocine"
-azoline,,Antihistamines/local vasoconstrictors,antazoline
-azosin,,Antihypertensives (prazosin type),doxazosin
-bactam,,Beta-lactamase inhibitors,sulbactam
-bamate,,Tranquilizers/antiepileptics,"meprobamate, felbamate"
-barb-,,Barbituric acid derivatives,"phenobarbital, secobarbital"
-bersat,,Anticonvulsants; antimigraine,carabersat; tidembersat
"bol-, -bol-",,Anabolic steroids,"bolandiol, mibolerone"
-bufen,,NSAID (fenbufen derivatives),indobufen
-butan,,Antiseptics,"dapabutan, lopbutan"
-butazone,,Anti-inflammatory analgesics (phenylbutazone type),mofebutazone
-caine,,Local anesthetics,"lidocaine, dibucaine"
-carbef,,Antibiotics (carbacephem derivatives),loracarbef
cef-,,Cephalosporins (first-gen),cefazolin
-cillin,,Penicillins,"ampicillin, penicillin, oxacillin"
-cog,,blood coagulation factors,"eptacog alfa, nonacog alfa, octocog alfa"
-conazole,,Antifungals (miconazole type),"fluconazole, oxiconazole"
-cort-,,Cortisone derivatives,hydrocortisone
-curium,,Neuromuscular blocking agents,atracurium
-cycline,,Antibiotics (tetracycline type),"minocycline, tetracycline"
-dralazine,,Antihypertensives (hydrazine-phthalazines),hydralazine
-dronate,,Calcium metabolism regulators,"etidronate, tiludronate"
-ectin,,Antiparasitics (ivermectin type),"doramectin, moxidectin"
-erg-,,Ergot alkaloid derivatives,pergolide
estr-,,Estrogens,estrone
-etanide,,Diuretics,bumetanide
-fenamic acid,,Anti-inflammatory agents,"mefenamic acid, flufenamic acid"
-fentanil,,Narcotic analgesics,"alfentanil, mirfentanil"
-fibrate,,Antihyperlipidemics,bezafibrate
-flurane,,Inhalation anesthetics,"enflurane, isoflurane"
-gest-,,Progestins,megestrol
-giline,,"MAO-inhibitors, type B",selegiline
-gillin,,Antibiotics (aspergillus strains),mitogillin
-gliptin,,Antihyperglycemics,vildagliptin
-glitazar,,"Antihyperglycemics, PPRA agonists",farglitazar
-glizatone,,"Antihyperglycemics, PPST agonists","ciglitazone, rosiglitazone"
-grel-,,Platelet aggregation inhibitor,"clopidogrel, ticagrelor"
-imex,,Immunostimulants,"forfenimex, roquinimex"
-imus,,Immunosuppresives,"tacrolimus, napirimus, gusperimus"
-irudin,,Anticoagulants,desirudin
-leukin,,Interleukin-2 derivatives,"teceleukin, aldesleukin"
-lukast,,Leukotriene antagonists,"montelukast, zafirlukast"
-mab,,Monoclonal antibodies,"capromab, daclizumab, detumomab"
-mantadine,,Antivirals,rimantadine
-milast,,Antiasthmatics/antiallergics; type IV phosphodiesterase inhibitors,piclamilast
-monam,,Monobactam antibiotics,gloximonam
-mustine,,Antineoplastics,carmustine
-mycin,,Antibiotics (streptomyces strains),lincomycin
-olol,,Beta-blockers (propranolol type),"timolol, atenolol"
-olone,,Steroids (no prednisone derivatives),minaxolone
-orphan,,Narcotic antagonists/agonists,"methrophan, dextrorphan"
-oxacin,,Antibiotics (quinolone derivatives),"difloxacin, ciprofloxacin"
-oxetine,,Antidepressants,"duloxetine, reboxetine"
-pamide,,Diuretics (sulfamoylbenzoic acid derivatives),adipamide
-pamil,,Coronary vasodilators,tiapamil
-parin,,Heparin derivatives,"heparin, tinzaparin, dalteparin"
-peridol,,Antipsychotics (haloperidol type),haloperidol
-peridone,,Antispsychotics (risperidone type),"risperidone, iloperidone"
-pidem,,Hypnotics/sedatives (zolpidem),"zolpidem, alpidem"
-piridine,,Cognition enhancers,"linopiridine, besipiridine"
-poetin,,Erythropoietins,"epoetin alfa, epoetin beta"
-pramine,,Antidepressants (imipramine type),lofepramine
-prazole,,Proton-pump inhibitor,"omeprazole, lansoprazole"
-pred-,,Prednisone derivatives,"prednicarbate, cloprednol"
-pril,,Antihypertensives (ACE inhibitors),"captopril, temocapril, spirapril"
-profen,,Anti-inflammatory/analgesic agents (ibuprofen type),flurbiprofen
-prost-,,Prostaglandin analogue,"latanoprost, unoprostone"
-rubicin,,Antineoplastic antibiotics (daunorubicin type),"epirubicin, idarubicin"
-sartan,,Angiotensin II receptor antagonists,"losartan, eprosartan"
-statin,,Renal dehydropeptidase inhibitor pepsin inhibitor,"cilastatin, pepstatin"
-ster-,,"Steroids (androgens, anabolics)",testosterone
-sulfa,,Antibiotics (sulfonamide derivatives),sulfasalazine
-tegrast,,Antiasthmatics/antiallergics; integrin antagonists,valategrast
-terol,,Bronchodilators (phenethylamine derivatives),albuterol
-thiazide,,Diuretics (thiazide derivatives),chlorothiazide
-tide,,peptides and glycopeptides,"Nesiritide, Octreotide"
-tocin,,Oxytocin derivatives,"oxytocin, pitocin"
-trexate,,Antimetabolites (folic acid derivatives),methotrexate
-triptyline,,Antidepressants,amitriptyline
-trodast,,Antiasthmatics/antiallergics; thromboxane A2 receptor antagonists,seratrodast
-uracil,,Uracil derivatives used as thyroid antagonists and as antineoplastics,fluorouracil
-vastatin,,Antihyperlipidemics (HMG-CoA inhibitors),"lovastatin, simvastatin"
"vir-, -vir- or -vir",,Antiviral substances (undefined group),"viroxime, envirodyne, ganciclovir"
-zolast,,Antiasthmatics/antiallergics; benzoxazole derivatives,"eclazolast, ontazolast"
-zumab,,humanized antibodies,"natalizumab, bevacizumab"
